tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
5098769,26100.0,26107.0,26192.0,26242.0,26325.0,26405.0,26539.0,26625.0,26659.0,26695.0,26747.0,26808.0,26853.0,26889.0,26941.0,26988.0,27014.0,27048.0,27070.0,27102.0,27138.0,27174.0,27223.0,27247.0,27291.0,27352.0,27401.0,27443.0,27453.0,27491.0,27508.0,27549.0,27575.0,27666.0,27698.0,27741.0
5098771,33000.0,33009.0,33116.0,33179.0,33285.0,33436.0,33593.0,33694.0,33737.0,33784.0,33839.0,33904.0,33967.0,34018.0,34091.0,34157.0,34194.0,34240.0,34270.0,34308.0,34362.0,34415.0,34486.0,34520.0,34581.0,34674.0,34749.0,34793.0,34804.0,34844.0,34861.0,34901.0,34926.0,35014.0,35045.0,35085.0
5098773,39000.0,39010.0,39135.0,39208.0,39332.0,39458.0,39589.0,39672.0,39711.0,39753.0,39807.0,39871.0,39918.0,39957.0,40012.0,40061.0,40089.0,40132.0,40161.0,40202.0,40248.0,40294.0,40356.0,40397.0,40471.0,40581.0,40669.0,40720.0,40733.0,40779.0,40798.0,40842.0,40870.0,40969.0,41003.0,41049.0
5098775,45000.0,45012.0,45158.0,45243.0,45386.0,45505.0,45641.0,45728.0,45773.0,45822.0,45884.0,45957.0,46012.0,46057.0,46121.0,46178.0,46210.0,46255.0,46285.0,46326.0,46371.0,46416.0,46477.0,46515.0,46583.0,46692.0,46779.0,46837.0,46852.0,46905.0,46924.0,46969.0,46997.0,47097.0,47132.0,47180.0
5098777,51000.0,51012.0,51158.0,51243.0,51386.0,51505.0,51641.0,51728.0,51773.0,51822.0,51884.0,51957.0,52012.0,52057.0,52121.0,52178.0,52210.0,52255.0,52285.0,52326.0,52371.0,52416.0,52477.0,52515.0,52583.0,52692.0,52779.0,52837.0,52852.0,52905.0,52924.0,52969.0,52997.0,53097.0,53132.0,53180.0
5098779,57000.0,57013.0,57169.0,57260.0,57413.0,57552.0,57682.0,57765.0,57807.0,57852.0,57909.0,57977.0,58033.0,58079.0,58145.0,58204.0,58236.0,58283.0,58314.0,58359.0,58413.0,58466.0,58538.0,58577.0,58646.0,58753.0,58838.0,58906.0,58923.0,58986.0,59006.0,59054.0,59084.0,59191.0,59228.0,59280.0
5098781,63600.0,63613.0,63767.0,63857.0,64009.0,64133.0,64257.0,64336.0,64375.0,64417.0,64496.0,64590.0,64645.0,64690.0,64754.0,64811.0,64842.0,64894.0,64928.0,64973.0,65020.0,65067.0,65129.0,65164.0,65225.0,65308.0,65375.0,65437.0,65452.0,65508.0,65529.0,65578.0,65609.0,65718.0,65756.0,65806.0
5099309,27300.0,27308.0,27402.0,27457.0,27548.0,27694.0,27868.0,27979.0,28023.0,28071.0,28131.0,28202.0,28268.0,28322.0,28399.0,28468.0,28506.0,28554.0,28586.0,28624.0,28690.0,28755.0,28843.0,28881.0,28949.0,29075.0,29176.0,29240.0,29256.0,29314.0,29336.0,29388.0,29421.0,29537.0,29577.0,29631.0
5099311,34200.0,34210.0,34335.0,34408.0,34532.0,34658.0,34789.0,34872.0,34911.0,34953.0,35007.0,35071.0,35118.0,35157.0,35212.0,35261.0,35289.0,35332.0,35361.0,35402.0,35448.0,35494.0,35556.0,35597.0,35671.0,35781.0,35869.0,35920.0,35933.0,35979.0,35998.0,36042.0,36070.0,36169.0,36203.0,36249.0
5099313,40200.0,40210.0,40335.0,40408.0,40532.0,40658.0,40789.0,40872.0,40911.0,40953.0,41007.0,41071.0,41118.0,41157.0,41212.0,41261.0,41289.0,41332.0,41361.0,41402.0,41448.0,41494.0,41556.0,41597.0,41671.0,41781.0,41869.0,41920.0,41933.0,41979.0,41998.0,42042.0,42070.0,42169.0,42203.0,42249.0
