tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P
5087260,54540.0,54575.0,54615.0,54643.0,54670.0,54720.0,54759.0,54790.0,54832.0,54925.0,54983.0,55056.0,55076.0,55115.0,55147.0,55175.0,55216.0,55267.0,55315.0,55345.0,55379.0,55436.0,55500.0,55537.0,55668.0,55753.0,55840.0,55944.0,56040.0,56135.0,56299.0
5087262,59940.0,59975.0,60015.0,60043.0,60070.0,60120.0,60159.0,60190.0,60232.0,60325.0,60383.0,60456.0,60476.0,60515.0,60547.0,60575.0,60616.0,60667.0,60715.0,60745.0,60779.0,60836.0,60900.0,60937.0,61068.0,61153.0,61240.0,61344.0,61440.0,61535.0,61699.0
5087264,65340.0,65375.0,65415.0,65443.0,65470.0,65520.0,65559.0,65590.0,65632.0,65725.0,65783.0,65856.0,65876.0,65915.0,65947.0,65975.0,66016.0,66067.0,66115.0,66145.0,66179.0,66236.0,66300.0,66337.0,66468.0,66553.0,66640.0,66744.0,66840.0,66935.0,67099.0
5089559,30000.0,30045.0,30095.0,30131.0,30165.0,30229.0,30278.0,30317.0,30369.0,30532.0,30626.0,30745.0,30774.0,30831.0,30877.0,30918.0,30969.0,31033.0,31093.0,31131.0,31172.0,31255.0,31345.0,31397.0,31593.0,31733.0,31956.0,32226.0,32322.0,32417.0,32582.0
5089563,42900.0,42939.0,42983.0,43014.0,43044.0,43100.0,43144.0,43178.0,43225.0,43365.0,43459.0,43578.0,43599.0,43642.0,43676.0,43707.0,43758.0,43822.0,43882.0,43920.0,43964.0,44028.0,44106.0,44151.0,44306.0,44400.0,44510.0,44642.0,44735.0,44827.0,44986.0
5089567,55200.0,55236.0,55276.0,55304.0,55331.0,55382.0,55421.0,55452.0,55494.0,55646.0,55736.0,55852.0,55875.0,55921.0,55958.0,55991.0,56038.0,56097.0,56153.0,56188.0,56227.0,56299.0,56384.0,56434.0,56598.0,56759.0,56862.0,56987.0,57081.0,57173.0,57333.0
5089569,61200.0,61236.0,61276.0,61304.0,61331.0,61382.0,61421.0,61452.0,61494.0,61646.0,61736.0,61852.0,61875.0,61921.0,61958.0,61991.0,62038.0,62097.0,62153.0,62188.0,62227.0,62299.0,62384.0,62434.0,62598.0,62759.0,62862.0,62987.0,63081.0,63173.0,63333.0
5091167,27000.0,27038.0,27081.0,27111.0,27140.0,27194.0,27236.0,27269.0,27314.0,27442.0,27500.0,27573.0,27593.0,27634.0,27667.0,27696.0,27745.0,27807.0,27865.0,27902.0,27942.0,28021.0,28097.0,28141.0,28313.0,28414.0,28532.0,28674.0,28767.0,28859.0,29017.0
5091173,48000.0,48040.0,48085.0,48117.0,48148.0,48205.0,48249.0,48284.0,48332.0,48503.0,48600.0,48723.0,48747.0,48796.0,48835.0,48870.0,48919.0,48980.0,49038.0,49074.0,49115.0,49186.0,49273.0,49324.0,49464.0,49573.0,49672.0,49791.0,49886.0,49979.0,50140.0
5092779,28200.0,28238.0,28281.0,28311.0,28340.0,28394.0,28436.0,28469.0,28514.0,28642.0,28700.0,28773.0,28793.0,28834.0,28867.0,28896.0,28945.0,29007.0,29065.0,29102.0,29142.0,29221.0,29297.0,29341.0,29513.0,29614.0,29732.0,29874.0,29967.0,30059.0,30217.0
5092787,58800.0,58836.0,58876.0,58904.0,58931.0,58982.0,59021.0,59052.0,59094.0,59246.0,59336.0,59452.0,59475.0,59521.0,59558.0,59591.0,59638.0,59697.0,59753.0,59788.0,59827.0,59899.0,59984.0,60034.0,60198.0,60359.0,60462.0,60587.0,60681.0,60773.0,60933.0
5092793,76800.0,76834.0,76872.0,76899.0,76925.0,76973.0,77010.0,77039.0,77079.0,77155.0,77208.0,77275.0,77290.0,77320.0,77344.0,77365.0,77402.0,77448.0,77491.0,77518.0,77548.0,77599.0,77655.0,77688.0,77804.0,77876.0,77936.0,78008.0,78090.0,78171.0,78312.0
